BreedName;tipo
Affenpinscher;Compañía
Bichon Frise;Compañía
Boston Terrier;Compañía
Chinese Crested Dog;Compañía
Coton de Tulear;Compañía
French Bulldog;Compañía
Havanese;Compañía
Lhasa Apso;Compañía
Maltese;Compañía
Miniature Pinscher;Compañía
Papillon;Compañía
Pekingese;Compañía
Pomeranian;Compañía
Shih Tzu;Compañía
Akita;Protección
American Bulldog;Protección
Anatolian Shepherd;Protección
Boerboel;Protección
Bullmastiff;Protección
Cane Corso Mastiff;Protección
Doberman Pinscher;Protección
Dogue de Bordeaux;Protección
German Shepherd Dog;Protección
Great Dane;Protección
Komondor;Protección
Kuvasz;Protección
Mastiff;Protección
Neapolitan Mastiff;Protección
Rottweiler;Protección
Tibetan Mastiff;Protección
Basenji;Caza
Beagle;Caza
Black and Tan Coonhound;Caza
Bloodhound;Caza
Bluetick Coonhound;Caza
Chesapeake Bay Retriever;Caza
Cocker Spaniel;Caza
Dachshund;Caza
English Pointer;Caza
English Setter;Caza
Fox Terrier;Caza
Golden Retriever;Caza
Irish Setter;Caza
Labrador Retriever;Caza
Pointer;Caza
Retriever;Caza
Rhodesian Ridgeback;Caza
Weimaraner;Caza
Australian Shepherd;Pastores
Belgian Shepherd Dog Sheepdog;Pastores
Border Collie;Pastores
Collie;Pastores
Corgi;Pastores
English Shepherd;Pastores
German Shorthaired Pointer;Pastores
Old English Sheepdog;Pastores
Shetland Sheepdog Sheltie;Pastores
American Eskimo Dog;Compañía
Brussels Griffon;Compañía
Cairn Terrier;Compañía
Chinese Foo Dog;Compañía
Cockapoo;Compañía
English Toy Spaniel;Compañía
Italian Greyhound;Compañía
Jack Russell Terrier;Compañía
Kyi Leo;Compañía
Lowchen;Compañía
Norfolk Terrier;Compañía
Norwich Terrier;Compañía
Pug;Compañía
Schipperke;Compañía
Shiba Inu;Compañía
Silky Terrier;Compañía
Skye Terrier;Compañía
Toy Fox Terrier;Compañía
West Highland White Terrier Westie;Compañía
Xoloitzcuintle/Mexican Hairless;Compañía
Black Russian Terrier;Protección
Bouvier des Flanders;Protección
Boxer;Protección
Caucasian Sheepdog (Caucasian Ovtcharka);Protección
Dogo Argentino;Protección
Fila Brasileiro;Protección
Giant Schnauzer;Protección
Great Pyrenees;Protección
Hovawart;Protección
Presa Canario;Protección
South Russian Ovtcharka;Protección
Tosa Inu;Protección
Afghan Hound;Caza
Airedale Terrier;Caza
American Water Spaniel;Caza
Australian Terrier;Caza
Basset Hound;Caza
Borzoi;Caza
Boykin Spaniel;Caza
Brittany Spaniel;Caza
Coonhound;Caza
Curly-Coated Retriever;Caza
English Coonhound;Caza
English Springer Spaniel;Caza
Field Spaniel;Caza
Flat-coated Retriever;Caza
Foxhound;Caza
German Wirehaired Pointer;Caza
Gordon Setter;Caza
Greyhound;Caza
Harrier;Caza
Ibizan Hound;Caza
Irish Water Spaniel;Caza
Irish Wolfhound;Caza
